V2,norm,typ
Delicate Knitwears Limited,DELICATE KNITWEARS,accord
DELMAS APPARELS (pvt) LIMITED,DELMAS APPARELS PVT,accord
Delta Clifton Textile & apparels,DELTA CLIFTON TEXTILE & APPARELS,accord
Denim Expert Limited,DENIM EXPERT,accord
DENIM EXPERT LIMITED,DENIM EXPERT,accord
Denim Plus ( BD ) Ltd.,DENIM PLUS  BD,accord
Denimach,DENIMACH,accord
Denison,DENISON,accord
DESH SWEATER LTD,DESH SWEATER,accord
Design Destination limited,DESIGN DESTINATION,accord
Designtex Fashions Ltd.,DESIGNTEX FASHIONS,accord
Designtex Sweater Ltd.,DESIGNTEX SWEATER,accord
Desun Garments Ltd.,DESUN GARMENTS,accord
Dew Fashion Ltd,DEW FASHION,accord
DGN Appraels Ltd,DGN APPRAELS,accord
DHAKA PULLOVER LTD.,DHAKA PULLOVER,accord
Diana Garments,DIANA GARMENTS,accord
DICA TEX LTD,DICA TEX,accord
Dica‚ÄêTex Ltd,DICA‚ÄÊTEX,accord
Diganta Sweaters Ltd,DIGANTA SWEATERS,accord
Digital Fashion,DIGITAL FASHION,accord
Bangladesh),BANGLADESH,accord
Dinatex International Ltd.,DINATEX INTERNATIONAL,accord
Dip Knitwear Ltd.,DIP KNITWEAR,accord
Dipta Garments Lts ‚Äê Unit of Dird Group,DIPTA GARMENTS LTS ‚ÄÊ UNIT OF DIRD GROUP,accord
Dird Composite Textiles Ltd.,DIRD COMPOSITE TEXTILES,accord
Disari Apparel Pvt.Ltd.,DISARI APPAREL PVT,accord
Disari Industries Pvt.Ltd.,DISARI INDUSTRIES PVT,accord
Divine Design Ltd,DIVINE DESIGN,accord
DIVINE TEXTILE LTD.,DIVINE TEXTILE,accord
DK Knitwear Ltd.,DK KNITWEAR,accord
DK Sweater Ltd.,DK SWEATER,accord
"DK Textil Ltd., DK Knitwear Ltd.","DK TEXTIL LTD, DK KNITWEAR",accord
"DK.Sweater LTD, Unit 110/2 Hazi Pear Prathomik Biddaloy Road, Baro","DKSWEATER LTD, UNIT 110/2 HAZI PEAR PRATHOMIK BIDDALOY ROAD, BARO",accord
"DK.Sweater LTD, Unit 2Plot # 09, Road # 02, Shyampur I/A, Dhaka","DKSWEATER LTD, UNIT 2PLOT # 09, ROAD # 02, SHYAMPUR I/A, DHAKA",accord
DNV Clothing,DNV CLOTHING,accord
Dody Exportwear Ltd,DODY EXPORTWEAR,accord
Doreen Garments Ltd,DOREEN GARMENTS,accord
Dotcom Sweater Limited,DOTCOM SWEATER,accord
Dragon Sweaters Bangladesh Ltd,DRAGON SWEATERS BANGLADESH,accord
DRAGONI FASHIONS LTD,DRAGONI FASHIONS,accord
Dream Top (BD) Ltd.,DREAM TOP BD,accord
Dreamwears Ltd.,DREAMWEARS,accord
GROUP),GROUP,accord
Dress Shirts Ltd.,DRESS SHIRTS,accord
Dress up Ltd,DRESS UP,accord
Dress World Ltd.,DRESS WORLD,accord
Garments Ltd,GARMENTS,accord
DRESSMEN FASHION WEAR LIMITED.,DRESSMEN FASHION WEAR,accord
DSL SWEATER LTD,DSL SWEATER,accord
D‚ÄêTex Limited,D‚ÄÊTEX,accord
Ducati Apparels Ltd.,DUCATI APPARELS,accord
Duranto Knit Textiles,DURANTO KNIT TEXTILES,accord
Dynamic Fashoin Ltd,DYNAMIC FASHOIN,accord
