factory_name,oc id,oc name
Newstar Fashions Ltd.,,
Spencer Apparels Ltd.,,
Megastar Apparels Ltd.,,
Nofs Garments Ltd.,/companies/bd/C-22728,Nofs Garments Ltd.
Topaz Garments Ltd.,,
Commisioner Apparels Ltd.,,
Shinest Garments Ltd.,,
Newage Fashionwear Ltd.,,
Cynosure Apparels Ltd.,,
Century Knit Wear,,
Clockwise Garments Ltd.,,
Ananya Apparels Ltd.,,
Fashion Makers Ltd.,/companies/bd/C-23285,Fashion Makers Ltd.
F. F. Fashions Ltd.,/companies/bd/C-21292,F. F. Fashions Ltd.
